Data,Matavimas,Laikas,Lauko temperatura,lauko_temp_patikslinta,IN,OUT,Delta,Wind_mph,Humidity_percent,Barometer_mbar
20210118,Pirmas,14:45:00,-11,-13,51,64,13,5,72,1020
20210118,Antras,18:00:00,-11,-12,40,46,6,5,72,1020
20210119,Pirmas,13:40:00,-11,-10,50,59,9,6,73,1016
20210119,Antras,17:14:00,-13,-12,49,53,4,7,79,1015
20210120,Pirmas,14:28:00,-7,-7,48,54,6,13,79,1008
20210120,Antras,17:18:00,-6,-6,49,57,8,14,80,1006
20210121,Pirmas,15:20:00,4,3,47,54,7,12,75,1002
20210121,Antras,17:12:00,2,3,50,56,6,3,73,1002
20210122,Pirmas,15:30:00,3,4,47,52,5,10,70,997
20210122,Antras,20:10:00,1,2,46,50,4,10,81,997
20210123,Pirmas,14:43:00,2,2,46,52,6,7,93,1001
20210123,Antras,19:50:00,2,4,41,45,4,10,81,998
20210124,Pirmas,15:10:00,2,1,52,61,9,8,93,995
20210124,Antras,18:36:00,2,0,47,52,5,6,93,994
20210125,Antras,17:20:00,1,1,43,51,8,3,87,999
20210126,Pirmas,14:30:00,0.5,0,48,55,7,0,93,995
20210126,Antras,20:30:00,0,0,38,39,1,14,87,996
20210127,Pirmas,15:00:00,2,0,53,61,8,10,93,1004
20210127,Antras,21:00:00,0,0,42,45,3,9,80,1006
20210128,Pirmas,19:08:00,-2,-2,49,52,3,7,80,999
20210128,Antras,21:30:00,-2,-3,47,50,3,7,80,998
20210129,Pirmas,16:15:00,-2,-3,48,54,6,8,80,993
20210129,Antras,20:00:00,-4,-3,44,52,8,9,74,993
20210130,Antras,17:00:00,-3,-2,52,60,8,10,80,994
20210131,Pirmas,16:00:00,0,-1,50,54,4,10,80,1000
20210131,Antras,20:00:00,-2,-1,39,44,5,9,75,1001
20210201,Antras,20:18:00,-8,-9,47,53,6,3,86,1010
Nezinoma,Nezinoma,19:00:00,-3,,42,53,11,,,
Nezinoma,Nezinoma,19:30:00,-4,,52,60,8,,,
Nezinoma,Nezinoma,18:15:00,-5,,51,55,4,,,
Nezinoma,Nezinoma,22:15:00,-15,,36,40,4,,,
Nezinoma,Nezinoma,14:00:00,-12,,51,60,9,,,
Nezinoma,Nezinoma,15:25:00,-11,,70,80,10,,,
20210216,Nezinoma,16:30:00,-1,-6,52,60,8,5,86,1022
Nezinoma,Nezinoma,17:00:00,-9,,51,63,12,,,
Nezinoma,Nezinoma,15:45:00,-12,,51,60,9,,,
Nezinoma,Nezinoma,18:00:00,0,,51,60,9,,,
Nezinoma,Nezinoma,17:00:00,6,,50,58,8,,,
Nezinoma,Nezinoma,17:10:00,10,,50,56,6,,,
Nezinoma,Nezinoma,17:15:00,13,,42,54,12,,,
Nezinoma,Nezinoma,15:40:00,12,,50,58,8,,,
Nezinoma,Nezinoma,18:00:00,8,,50,55,5,,,
Nezinoma,Nezinoma,14:30:00,2,,53,63,10,,,
