Matavimas,lauko_temp_patikslinta,Delta,Humidity_percent,Barometer_mbar,watts,wind_kph,vidaus_temperatura,vidaus_lauko_temp_delta,Q_debitas_m3_s,naujas_joules,new_kilowatt,kaina_euro_per_kwh,heating_deg_days,hhd_minus_lauko_temp,euro_per_C
Antras,4,4,81,998,23.33333333,16.09,23,19,0.522222222,"8,739.90",8.74,1.40,15.5,11.5,0.12
Pirmas,4,5,70,997,29.16666667,16.09,22,18,0.522222222,"10,924.90",10.92,1.75,15.5,11.5,0.15
Antras,3,6,73,1002,35,4.827,23,20,0.522222222,"13,109.90",13.11,2.10,15.5,12.5,0.17
Pirmas,3,7,75,1002,40.83333333,19.308,22,19,0.522222222,"15,294.80",15.29,2.45,15.5,12.5,0.20
Antras,2,4,81,997,23.33333333,16.09,23,21,0.522222222,"8,739.90",8.74,1.40,15.5,13.5,0.10
Pirmas,2,6,93,1001,35,11.263,22,20,0.522222222,"13,109.90",13.11,2.10,15.5,13.5,0.16
Antras,1,8,87,999,46.66666667,4.827,23,22,0.522222222,"17,479.80",17.48,2.80,15.5,14.5,0.19
Pirmas,1,9,93,995,52.5,12.872,22,21,0.522222222,"19,664.80",19.66,3.15,15.5,14.5,0.22
Antras,0,1,87,996,5.833333333,22.526,23,23,0.522222222,"2,185.00",2.18,0.35,15.5,15.5,0.02
Antras,0,3,80,1006,17.5,14.481,23,23,0.522222222,"6,554.90",6.55,1.05,15.5,15.5,0.07
Antras,0,5,93,994,29.16666667,9.654,23,23,0.522222222,"10,924.90",10.92,1.75,15.5,15.5,0.11
Pirmas,0,7,93,995,40.83333333,0,22,22,0.522222222,"15,294.80",15.29,2.45,15.5,15.5,0.16
Pirmas,0,8,93,1004,46.66666667,16.09,22,22,0.522222222,"17,479.80",17.48,2.80,15.5,15.5,0.18
Pirmas,-1,4,80,1000,23.33333333,16.09,22,23,0.522222222,"8,739.90",8.74,1.40,15.5,16.5,0.08
Antras,-1,5,75,1001,29.16666667,14.481,23,24,0.522222222,"10,924.90",10.92,1.75,15.5,16.5,0.11
Pirmas,-2,3,80,999,17.5,11.263,22,24,0.522222222,"6,554.90",6.55,1.05,15.5,17.5,0.06
Antras,-2,8,80,994,46.66666667,16.09,23,25,0.522222222,"17,479.80",17.48,2.80,15.5,17.5,0.16
Antras,-3,3,80,998,17.5,11.263,23,26,0.522222222,"6,554.90",6.55,1.05,15.5,18.5,0.06
Pirmas,-3,6,80,993,35,12.872,22,25,0.522222222,"13,109.90",13.11,2.10,15.5,18.5,0.11
Antras,-3,8,74,993,46.66666667,14.481,23,26,0.522222222,"17,479.80",17.48,2.80,15.5,18.5,0.15
Antras,-6,8,80,1006,46.66666667,22.526,23,29,0.522222222,"17,479.80",17.48,2.80,15.5,21.5,0.13
Pirmas,-7,6,79,1008,35,20.917,22,29,0.522222222,"13,109.90",13.11,2.10,15.5,22.5,0.09
Antras,-9,6,86,1010,35,4.827,23,32,0.522222222,"13,109.90",13.11,2.10,15.5,24.5,0.09
Pirmas,-10,9,73,1016,52.5,9.654,22,32,0.522222222,"19,664.80",19.66,3.15,15.5,25.5,0.12
Antras,-12,4,79,1015,23.33333333,11.263,23,35,0.522222222,"8,739.90",8.74,1.40,15.5,27.5,0.05
Antras,-12,6,72,1020,35,8.045,23,35,0.522222222,"13,109.90",13.11,2.10,15.5,27.5,0.08
Pirmas,-13,13,72,1020,75.83333333,8.045,22,35,0.522222222,"28,404.70",28.4,4.54,15.5,28.5,0.16
