Data,Matavimas,Laikas,Lauko temperatura,lauko_temp_patikslinta,IN,OUT,Delta,Wind_mph,Humidity_percent,Barometer_mbar,delta_skirtumas,joules,watts,wind_kph
20210118,Pirmas,14:45:00,-11.0,-13.0,51,64,13,5.0,72.0,1020.0,13,273000,75.83333333333333,8.045
20210118,Antras,18:00:00,-11.0,-12.0,40,46,6,5.0,72.0,1020.0,6,126000,35.0,8.045
20210119,Pirmas,13:40:00,-11.0,-10.0,50,59,9,6.0,73.0,1016.0,9,189000,52.5,9.654
20210119,Antras,17:14:00,-13.0,-12.0,49,53,4,7.0,79.0,1015.0,4,84000,23.333333333333332,11.263
20210120,Pirmas,14:28:00,-7.0,-7.0,48,54,6,13.0,79.0,1008.0,6,126000,35.0,20.917
20210120,Antras,17:18:00,-6.0,-6.0,49,57,8,14.0,80.0,1006.0,8,168000,46.666666666666664,22.526
20210121,Pirmas,15:20:00,4.0,3.0,47,54,7,12.0,75.0,1002.0,7,147000,40.833333333333336,19.308
20210121,Antras,17:12:00,2.0,3.0,50,56,6,3.0,73.0,1002.0,6,126000,35.0,4.827
20210122,Pirmas,15:30:00,3.0,4.0,47,52,5,10.0,70.0,997.0,5,105000,29.166666666666668,16.09
20210122,Antras,20:10:00,1.0,2.0,46,50,4,10.0,81.0,997.0,4,84000,23.333333333333332,16.09
20210123,Pirmas,14:43:00,2.0,2.0,46,52,6,7.0,93.0,1001.0,6,126000,35.0,11.263
20210123,Antras,19:50:00,2.0,4.0,41,45,4,10.0,81.0,998.0,4,84000,23.333333333333332,16.09
20210124,Pirmas,15:10:00,2.0,1.0,52,61,9,8.0,93.0,995.0,9,189000,52.5,12.872
20210124,Antras,18:36:00,2.0,0.0,47,52,5,6.0,93.0,994.0,5,105000,29.166666666666668,9.654
20210125,Antras,17:20:00,1.0,1.0,43,51,8,3.0,87.0,999.0,8,168000,46.666666666666664,4.827
20210126,Pirmas,14:30:00,0.5,0.0,48,55,7,0.0,93.0,995.0,7,147000,40.833333333333336,0.0
20210126,Antras,20:30:00,0.0,0.0,38,39,1,14.0,87.0,996.0,1,21000,5.833333333333333,22.526
20210127,Pirmas,15:00:00,2.0,0.0,53,61,8,10.0,93.0,1004.0,8,168000,46.666666666666664,16.09
20210127,Antras,21:00:00,0.0,0.0,42,45,3,9.0,80.0,1006.0,3,63000,17.5,14.481
20210128,Pirmas,19:08:00,-2.0,-2.0,49,52,3,7.0,80.0,999.0,3,63000,17.5,11.263
20210128,Antras,21:30:00,-2.0,-3.0,47,50,3,7.0,80.0,998.0,3,63000,17.5,11.263
20210129,Pirmas,16:15:00,-2.0,-3.0,48,54,6,8.0,80.0,993.0,6,126000,35.0,12.872
20210129,Antras,20:00:00,-4.0,-3.0,44,52,8,9.0,74.0,993.0,8,168000,46.666666666666664,14.481
20210130,Antras,17:00:00,-3.0,-2.0,52,60,8,10.0,80.0,994.0,8,168000,46.666666666666664,16.09
20210131,Pirmas,16:00:00,0.0,-1.0,50,54,4,10.0,80.0,1000.0,4,84000,23.333333333333332,16.09
20210131,Antras,20:00:00,-2.0,-1.0,39,44,5,9.0,75.0,1001.0,5,105000,29.166666666666668,14.481
20210201,Antras,20:18:00,-8.0,-9.0,47,53,6,3.0,86.0,1010.0,6,126000,35.0,4.827
Nezinoma,Nezinoma,19:00:00,-3.0,,42,53,11,,,,11,231000,64.16666666666667,
Nezinoma,Nezinoma,19:30:00,-4.0,,52,60,8,,,,8,168000,46.666666666666664,
Nezinoma,Nezinoma,18:15:00,-5.0,,51,55,4,,,,4,84000,23.333333333333332,
Nezinoma,Nezinoma,22:15:00,-15.0,,36,40,4,,,,4,84000,23.333333333333332,
Nezinoma,Nezinoma,14:00:00,-12.0,,51,60,9,,,,9,189000,52.5,
Nezinoma,Nezinoma,15:25:00,-11.0,,70,80,10,,,,10,210000,58.333333333333336,
20210216,Nezinoma,16:30:00,-1.0,-6.0,52,60,8,5.0,86.0,1022.0,8,168000,46.666666666666664,8.045
Nezinoma,Nezinoma,17:00:00,-9.0,,51,63,12,,,,12,252000,70.0,
Nezinoma,Nezinoma,15:45:00,-12.0,,51,60,9,,,,9,189000,52.5,
Nezinoma,Nezinoma,18:00:00,0.0,,51,60,9,,,,9,189000,52.5,
Nezinoma,Nezinoma,17:00:00,6.0,,50,58,8,,,,8,168000,46.666666666666664,
Nezinoma,Nezinoma,17:10:00,10.0,,50,56,6,,,,6,126000,35.0,
Nezinoma,Nezinoma,17:15:00,13.0,,42,54,12,,,,12,252000,70.0,
Nezinoma,Nezinoma,15:40:00,12.0,,50,58,8,,,,8,168000,46.666666666666664,
Nezinoma,Nezinoma,18:00:00,8.0,,50,55,5,,,,5,105000,29.166666666666668,
Nezinoma,Nezinoma,14:30:00,2.0,,53,63,10,,,,10,210000,58.333333333333336,
